Complaint_type,Error,Accuracy
UNSANITARY CONDITION,5.312558528879238e-29,1.0
Unleashed Dog,1.2448283167063363e-29,1.0
Unsanitary Animal Facility,1.9903889961538875e-29,1.0
Unsanitary Animal Pvt Property,1.8827495269148846e-28,1.0
Unsanitary Condition,2.867185845432215e-29,1.0
Unsanitary Pigeon Condition,4.2499952849544435e-30,1.0
Urinating in Public,1.31189744593432e-29,1.0
Vacant Lot,9.028857875012906e-29,1.0
Vending,3.7866611904332224e-29,1.0
Violation of Park Rules,1.2769967113403228e-29,1.0
WATER LEAK,4.332722194671829e-30,1.0
Water Conservation,2.97688029610222e-29,1.0
Water Quality,2.3412778935633267e-29,1.0
Water System,3.035464037235829e-29,1.0
Window Guard,2.045960209771707e-29,1.0
