Incident_Zip,Complaint_Type,count
10001.0,Dirty Conditions,554
10001.0,Drinking,21
10001.0,Drinking Water,4
10001.0,Drug Activity,55
10001.0,ELECTRIC,102
10001.0,ELEVATOR,6
10001.0,Electrical,90
10001.0,Elevator,384
10001.0,Emergency Response Team (ERT),207
10001.0,Executive Inspections,3
10001.0,FCST,1
10001.0,FLOORING/STAIRS,67
10001.0,Facades,31
10001.0,Foam Ban Enforcement,2
10001.0,Food Establishment,502
10001.0,Food Poisoning,207
10001.0,For Hire Vehicle Complaint,1031
10001.0,For Hire Vehicle Report,32
10001.0,Found Property,28
10001.0,GENERAL,199
10001.0,General Construction/Plumbing,1222
10001.0,Graffiti,432
10001.0,Green Taxi Complaint,2
10001.0,HEAT/HOT WATER,1382
10001.0,Harboring Bees/Wasps,2
10001.0,Hazardous Materials,95
10001.0,Highway Condition,2
10001.0,Homeless Encampment,909
10001.0,Homeless Person Assistance,4007
10001.0,Homeless Street Condition,44
10001.0,Illegal Animal Kept as Pet,1
10001.0,Illegal Fireworks,1
10001.0,Illegal Parking,2217
10001.0,Illegal Tree Damage,24
10001.0,Indoor Air Quality,127
10001.0,Indoor Sewage,20
10001.0,Industrial Waste,32
10001.0,Interior Demo,1
10001.0,Investigations and Discipline (IAD),25
10001.0,Lead,96
10001.0,Legal Services Provider Complaint,1
10001.0,LinkNYC,10
10001.0,Litter Basket / Request,33
10001.0,Lost Property,415
10001.0,Maintenance or Facility,83
10001.0,Miscellaneous Categories,61
10001.0,Missed Collection,1
10001.0,Missed Collection (All Materials),342
10001.0,Mobile Food Vendor,51
10001.0,Mold,47
10001.0,Mosquitoes,5
10001.0,New Tree Request,252
10001.0,Noise,4504
10001.0,Noise - Commercial,1239
10001.0,Noise - Helicopter,91
10001.0,Noise - House of Worship,4
10001.0,Noise - Park,19
10001.0,Noise - Residential,3046
10001.0,Noise - Street/Sidewalk,2013
10001.0,Noise - Vehicle,391
10001.0,Non-Emergency Police Matter,172
10001.0,Non-Residential Heat,108
10001.0,OUTSIDE BUILDING,4
10001.0,Other Enforcement,157
10001.0,Overflowing Litter Baskets,14
10001.0,Overgrown Tree/Branches,8
10001.0,PAINT/PLASTER,201
10001.0,PLUMBING,298
10001.0,Panhandling,21
10001.0,Plant,1
10001.0,Plumbing,117
10001.0,Posting Advertisement,1
10001.0,Public Payphone Complaint,23
10001.0,Public Toilet,4
10001.0,Quality of Life,19
10001.0,Recycling Enforcement,30
10001.0,Request Large Bulky Item Collection,449
10001.0,Request Xmas Tree Collection,3
10001.0,Rodent,448
10001.0,Root/Sewer/Sidewalk Condition,1
10001.0,SAFETY,47
10001.0,Safety,2
10001.0,Sanitation Condition,510
10001.0,Scaffold Safety,15
10001.0,School Maintenance,8
10001.0,Senior Center Complaint,9
10001.0,Sewer,332
10001.0,Sidewalk Condition,489
10001.0,Single Occupancy Bathroom,1
10001.0,Smoking,103
10001.0,Snow,106
10001.0,Special Projects Inspection Team (SPIT),264
10001.0,Sprinkler - Mechanical,1
10001.0,Standing Water,29
10001.0,Street Condition,1859
10001.0,Street Light Condition,33
10001.0,Street Sign - Damaged,81
10001.0,Street Sign - Dangling,54
10001.0,Street Sign - Missing,97
10001.0,Sustainability Enforcement,62
10001.0,Sweeping/Missed,6
10001.0,Taxi Complaint,1887
10001.0,Taxi Compliment,5
10001.0,Taxi Report,324
10001.0,Traffic,176
10001.0,Traffic Signal Condition,3
10001.0,UNSANITARY CONDITION,451
10001.0,Unleashed Dog,3
10001.0,Unsanitary Animal Pvt Property,6
10001.0,Unsanitary Condition,7
10001.0,Unsanitary Pigeon Condition,6
10001.0,Urinating in Public,40
10001.0,Vacant Lot,5
10001.0,Vending,383
10001.0,Violation of Park Rules,51
10001.0,WATER LEAK,135
10001.0,Water Conservation,46
10001.0,Water Quality,26
10001.0,Water System,1482
10002.0,APPLIANCE,238
10002.0,ATF,3
10002.0,Abandoned Vehicle,52
10002.0,Adopt-A-Basket,2
10002.0,Air Quality,396
10002.0,Animal Abuse,187
10002.0,Animal Facility - No Permit,1
10002.0,Animal in a Park,29
10002.0,Animal-Abuse,45
10002.0,Asbestos,74
10002.0,BEST/Site Safety,29
10002.0,Beach/Pool/Sauna Complaint,7
10002.0,Bike Rack Condition,10
10002.0,Bike/Roller/Skate Chronic,43
10002.0,Blocked Driveway,461
10002.0,Boilers,66
10002.0,Borough Office,32
10002.0,Bridge Condition,41
10002.0,Broken Muni Meter,504
10002.0,Broken Parking Meter,472
10002.0,Building Condition,1
10002.0,Building Marshals office,77
10002.0,Building/Use,404
10002.0,Bus Stop Shelter Complaint,23
10002.0,Bus Stop Shelter Placement,6
10002.0,City Vehicle Placard Complaint,6
10002.0,Collection Truck Noise,5
10002.0,Construction,2
10002.0,Construction Lead Dust,4
10002.0,Construction Safety Enforcement,231
10002.0,Consumer Complaint,589
10002.0,Cooling Tower,2
10002.0,Cranes and Derricks,29
10002.0,Curb Condition,90
10002.0,DEP Street Condition,1
10002.0,DOF Property - Payment Issue,19
10002.0,DOF Property - Reduction Issue,3
10002.0,DOOR/WINDOW,609
10002.0,DPR Internal,36
10002.0,DRIE,15
10002.0,Damaged Tree,187
10002.0,Day Care,10
10002.0,Dead Tree,16
10002.0,Dead/Dying Tree,85
10002.0,Derelict Bicycle,231
10002.0,Derelict Vehicle,124
10002.0,Derelict Vehicles,105
10002.0,Dirty Conditions,719
10002.0,Disorderly Youth,7
10002.0,Dispatched Taxi Complaint,1
10002.0,Drinking,74
10002.0,Drinking Water,3
10002.0,Drug Activity,86
10002.0,ELECTRIC,410
10002.0,ELEVATOR,16
10002.0,Electrical,77
10002.0,Elevator,299
10002.0,Emergency Response Team (ERT),239
10002.0,Executive Inspections,2
10002.0,FATF,6
10002.0,FLOORING/STAIRS,411
10002.0,Facades,4
10002.0,Fire Alarm - Reinspection,2
10002.0,Foam Ban Enforcement,2
10002.0,Food Establishment,552
10002.0,Food Poisoning,182
10002.0,For Hire Vehicle Complaint,1679
10002.0,For Hire Vehicle Report,14
10002.0,Found Property,21
10002.0,GENERAL,877
10002.0,General,6
10002.0,General Construction/Plumbing,1108
10002.0,Graffiti,2519
10002.0,Green Taxi Complaint,1
10002.0,HEAT/HOT WATER,6002
10002.0,Harboring Bees/Wasps,3
10002.0,Hazardous Materials,73
10002.0,Highway Condition,92
10002.0,Homeless Encampment,268
10002.0,Homeless Person Assistance,1062
10002.0,Homeless Street Condition,25
10002.0,Illegal Animal Kept as Pet,6
10002.0,Illegal Animal Sold,3
10002.0,Illegal Fireworks,11
10002.0,Illegal Parking,5098
10002.0,Illegal Tree Damage,81
10002.0,Indoor Air Quality,248
10002.0,Indoor Sewage,50
10002.0,Industrial Waste,26
10002.0,Interior Demo,1
10002.0,Investigations and Discipline (IAD),18
10002.0,Lead,300
10002.0,Lifeguard,1
10002.0,LinkNYC,3
10002.0,Litter Basket / Request,74
10002.0,Lost Property,290
10002.0,Maintenance or Facility,381
10002.0,Miscellaneous Categories,103
10002.0,Missed Collection (All Materials),247
10002.0,Mobile Food Vendor,26
10002.0,Mold,16
10002.0,Mosquitoes,21
10002.0,Municipal Parking Facility,24
10002.0,New Tree Request,390
10002.0,Noise,3344
10002.0,Noise - Commercial,5592
10002.0,Noise - Helicopter,112
10002.0,Noise - House of Worship,2
10002.0,Noise - Park,385
10002.0,Noise - Residential,9269
10002.0,Noise - Street/Sidewalk,3528
10002.0,Noise - Vehicle,1293
10002.0,Non-Emergency Police Matter,212
10002.0,Non-Residential Heat,30
10002.0,OUTSIDE BUILDING,40
10002.0,Other Enforcement,218
10002.0,Overflowing Litter Baskets,15
10002.0,Overgrown Tree/Branches,45
10002.0,PAINT/PLASTER,852
10002.0,PLUMBING,874
10002.0,Panhandling,12
10002.0,Plumbing,236
10002.0,Posting Advertisement,7
10002.0,Public Payphone Complaint,35
10002.0,Public Toilet,3
10002.0,Quality of Life,29
10002.0,Radioactive Material,1
10002.0,Recycling Enforcement,30
10002.0,Request Large Bulky Item Collection,924
10002.0,Request Xmas Tree Collection,3
10002.0,Rodent,1093
10002.0,Root/Sewer/Sidewalk Condition,7
10002.0,SAFETY,171
10002.0,Safety,2
10002.0,Sanitation Condition,587
10002.0,Scaffold Safety,13
10002.0,School Maintenance,80
10002.0,Senior Center Complaint,7
10002.0,Sewer,371
10002.0,Sidewalk Condition,791
10002.0,Single Occupancy Bathroom,1
10002.0,Smoking,163
10002.0,Snow,100
10002.0,Special Projects Inspection Team (SPIT),427
10002.0,Standing Water,53
10002.0,Street Condition,2001
10002.0,Street Light Condition,1205
10002.0,Street Sign - Damaged,185
10002.0,Street Sign - Dangling,69
10002.0,Street Sign - Missing,177
10002.0,Sustainability Enforcement,40
10002.0,Sweeping/Inadequate,2
10002.0,Sweeping/Missed,18
10002.0,Tattooing,4
10002.0,Taxi Complaint,928
10002.0,Taxi Compliment,4
10002.0,Taxi Report,108
10002.0,Traffic,162
10002.0,Traffic Signal Condition,937
10002.0,UNSANITARY CONDITION,1478
10002.0,Unleashed Dog,11
10002.0,Unsanitary Animal Pvt Property,31
10002.0,Unsanitary Condition,9
10002.0,Unsanitary Pigeon Condition,24
10002.0,Urinating in Public,51
10002.0,Vacant Lot,3
10002.0,Vending,74
10002.0,Violation of Park Rules,58
10002.0,WATER LEAK,639
10002.0,Water Conservation,39
10002.0,Water Quality,36
10002.0,Water System,1466
10003.0,APPLIANCE,167
10003.0,Abandoned Vehicle,22
10003.0,Adopt-A-Basket,2
10003.0,Air Quality,827
10003.0,Animal Abuse,313
10003.0,Animal Facility - No Permit,1
10003.0,Animal in a Park,12
10003.0,Animal-Abuse,83
10003.0,Asbestos,128
10003.0,BEST/Site Safety,30
10003.0,Beach/Pool/Sauna Complaint,14
10003.0,Bike Rack Condition,21
10003.0,Bike/Roller/Skate Chronic,50
10003.0,Blocked Driveway,257
10003.0,Boilers,79
10003.0,Borough Office,26
10003.0,Broken Muni Meter,1175
10003.0,Broken Parking Meter,673
10003.0,Building Marshals office,84
10003.0,Building/Use,224
10003.0,Bus Stop Shelter Complaint,26
10003.0,Bus Stop Shelter Placement,5
10003.0,Collection Truck Noise,6
10003.0,Construction,3
10003.0,Construction Lead Dust,3
10003.0,Construction Safety Enforcement,137
10003.0,Consumer Complaint,559
10003.0,Cooling Tower,1
10003.0,Cranes and Derricks,11
10003.0,Curb Condition,99
10003.0,DEP Sidewalk Condition,1
10003.0,DOF Property - Payment Issue,23
10003.0,DOOR/WINDOW,427
10003.0,DPR Internal,6
10003.0,DRIE,22
10003.0,Damaged Tree,294
10003.0,Dead Tree,29
10003.0,Dead/Dying Tree,150
10003.0,Derelict Bicycle,404
10003.0,Derelict Vehicle,93
10003.0,Derelict Vehicles,33
10003.0,Dirty Conditions,752
10003.0,Disorderly Youth,4
10003.0,Drinking,62
10003.0,Drinking Water,5
10003.0,Drug Activity,41
10003.0,ELECTRIC,272
10003.0,ELEVATOR,14
10003.0,Electrical,100
10003.0,Elevator,251
10003.0,Emergency Response Team (ERT),249
10003.0,Executive Inspections,4
10003.0,FATF,1
10003.0,FLOORING/STAIRS,235
10003.0,Facades,24
10003.0,Ferry Complaint,1
10003.0,Food Establishment,739
10003.0,Food Poisoning,327
10003.0,For Hire Vehicle Complaint,2310
10003.0,For Hire Vehicle Report,11
10003.0,Found Property,30
10003.0,GENERAL,917
10003.0,General,4
10003.0,General Construction/Plumbing,1289
10003.0,Graffiti,842
10003.0,Green Taxi Complaint,1
10003.0,HEAT/HOT WATER,4136
10003.0,Harboring Bees/Wasps,2
10003.0,Hazardous Materials,119
10003.0,Highway Condition,1
10003.0,Homeless Encampment,1241
10003.0,Homeless Person Assistance,4357
10003.0,Homeless Street Condition,92
10003.0,Illegal Animal Kept as Pet,7
10003.0,Illegal Animal Sold,1
10003.0,Illegal Fireworks,2
10003.0,Illegal Parking,2958
10003.0,Illegal Tree Damage,129
10003.0,Indoor Air Quality,229
10003.0,Indoor Sewage,34
10003.0,Industrial Waste,36
10003.0,Investigations and Discipline (IAD),23
10003.0,Lead,298
10003.0,LinkNYC,20
10003.0,Litter Basket / Request,31
10003.0,Lost Property,348
10003.0,Maintenance or Facility,121
10003.0,Miscellaneous Categories,80
10003.0,Missed Collection (All Materials),536
10003.0,Mobile Food Vendor,39
10003.0,Mold,12
10003.0,Mosquitoes,5
10003.0,New Tree Request,779
10003.0,Noise,4711
10003.0,Noise - Commercial,3528
10003.0,Noise - Helicopter,154
10003.0,Noise - House of Worship,12
10003.0,Noise - Park,406
10003.0,Noise - Residential,5241
10003.0,Noise - Street/Sidewalk,2518
10003.0,Noise - Vehicle,927
10003.0,Non-Emergency Police Matter,177
10003.0,Non-Residential Heat,68
10003.0,OUTSIDE BUILDING,33
10003.0,Other Enforcement,225
10003.0,Overflowing Litter Baskets,29
10003.0,Overflowing Recycling Baskets,3
10003.0,Overgrown Tree/Branches,77
10003.0,PAINT/PLASTER,674
10003.0,PLUMBING,676
10003.0,Panhandling,47
10003.0,Pet Shop,2
10003.0,Plumbing,262
10003.0,Poison Ivy,1
10003.0,Posting Advertisement,5
10003.0,Public Assembly - Temporary,1
10003.0,Public Payphone Complaint,38
10003.0,Public Toilet,3
10003.0,Quality of Life,14
10003.0,Radioactive Material,1
10003.0,Recycling Enforcement,31
10003.0,Request Large Bulky Item Collection,1517
10003.0,Request Xmas Tree Collection,3
10003.0,Rodent,746
10003.0,Root/Sewer/Sidewalk Condition,20
10003.0,SAFETY,131
10003.0,Safety,1
10003.0,Sanitation Condition,452
10003.0,Scaffold Safety,15
10003.0,School Maintenance,36
10003.0,Senior Center Complaint,11
10003.0,Sewer,442
10003.0,Sidewalk Condition,687
10003.0,Smoking,53
10003.0,Snow,120
10003.0,Special Operations,4
10003.0,Special Projects Inspection Team (SPIT),309
10003.0,Stalled Sites,1
10003.0,Standing Water,43
10003.0,Street Condition,2627
10003.0,Street Light Condition,144
10003.0,Street Sign - Damaged,106
10003.0,Street Sign - Dangling,82
10003.0,Street Sign - Missing,72
10003.0,Sustainability Enforcement,24
10003.0,Sweeping/Inadequate,4
10003.0,Sweeping/Missed,10
10003.0,Tattooing,15
10003.0,Taxi Complaint,1975
10003.0,Taxi Compliment,6
10003.0,Taxi Report,227
10003.0,Traffic,83
10003.0,Traffic Signal Condition,34
10003.0,Transportation Provider Complaint,1
10003.0,UNSANITARY CONDITION,1195
10003.0,Unleashed Dog,11
10003.0,Unsanitary Animal Pvt Property,24
10003.0,Unsanitary Condition,25
10003.0,Unsanitary Pigeon Condition,39
10003.0,Urinating in Public,47
10003.0,Vacant Lot,9
10003.0,Vending,180
10003.0,Violation of Park Rules,66
10003.0,WATER LEAK,404
10003.0,Water Conservation,50
10003.0,Water Quality,77
10003.0,Water System,1550
10003.0,Window Guard,2
10004.0,APPLIANCE,1
10004.0,Abandoned Vehicle,3
10004.0,Air Quality,105
10004.0,Animal Abuse,6
10004.0,Animal in a Park,4
10004.0,Animal-Abuse,2
10004.0,Asbestos,16
10004.0,BEST/Site Safety,4
10004.0,Beach/Pool/Sauna Complaint,2
10004.0,Bike Rack Condition,1
10004.0,Bike/Roller/Skate Chronic,8
10004.0,Blocked Driveway,28
10004.0,Borough Office,1
10004.0,Broken Muni Meter,60
10004.0,Broken Parking Meter,28
10004.0,Building Marshals office,5
10004.0,Building/Use,17
10004.0,Bus Stop Shelter Complaint,4
10004.0,Bus Stop Shelter Placement,1
10004.0,City Vehicle Placard Complaint,4
10004.0,Construction,1
10004.0,Construction Safety Enforcement,17
10004.0,Consumer Complaint,191
10004.0,Cranes and Derricks,1
10004.0,Curb Condition,60
10004.0,DOF Property - Payment Issue,9
10004.0,DOOR/WINDOW,10
10004.0,DPR Internal,11
10004.0,DRIE,1
10004.0,Damaged Tree,3
10004.0,Dead/Dying Tree,2
10004.0,Derelict Bicycle,14
10004.0,Derelict Vehicle,8
10004.0,Derelict Vehicles,5
10004.0,Dirty Conditions,58
10004.0,Drinking,2
10004.0,Drinking Water,1
10004.0,Drug Activity,1
10004.0,ELECTRIC,3
10004.0,ELEVATOR,3
10004.0,Electrical,12
10004.0,Elevator,64
10004.0,Emergency Response Team (ERT),16
10004.0,FLOORING/STAIRS,4
10004.0,Facades,4
10004.0,Ferry Complaint,7
10004.0,Ferry Inquiry,6
10004.0,Food Establishment,117
10004.0,Food Poisoning,55
10004.0,For Hire Vehicle Complaint,96
10004.0,For Hire Vehicle Report,6
10004.0,Found Property,6
10004.0,GENERAL,6
10004.0,General Construction/Plumbing,108
10004.0,Graffiti,7
10004.0,HEAT/HOT WATER,34
10004.0,Harboring Bees/Wasps,1
10004.0,Hazardous Materials,14
10004.0,Highway Condition,28
10004.0,Homeless Encampment,168
10004.0,Homeless Person Assistance,408
10004.0,Homeless Street Condition,69
10004.0,Illegal Animal Sold,1
10004.0,Illegal Fireworks,1
10004.0,Illegal Parking,790
10004.0,Illegal Tree Damage,2
10004.0,Indoor Air Quality,13
10004.0,Indoor Sewage,1
10004.0,Industrial Waste,5
10004.0,Investigations and Discipline (IAD),3
10004.0,Lead,17
10004.0,Litter Basket / Request,3
10004.0,Lost Property,71
10004.0,Maintenance or Facility,31
10004.0,Miscellaneous Categories,4
10004.0,Missed Collection (All Materials),32
10004.0,Mobile Food Vendor,19
10004.0,Mold,2
10004.0,Mosquitoes,2
10004.0,New Tree Request,8
10004.0,Noise,902
10004.0,Noise - Commercial,130
10004.0,Noise - Helicopter,16
10004.0,Noise - Park,39
10004.0,Noise - Residential,98
10004.0,Noise - Street/Sidewalk,169
10004.0,Noise - Vehicle,121
10004.0,Non-Emergency Police Matter,45
10004.0,Non-Residential Heat,11
10004.0,Other Enforcement,15
10004.0,Overflowing Litter Baskets,3
10004.0,PAINT/PLASTER,5
10004.0,PLUMBING,7
10004.0,Panhandling,502
10004.0,Plumbing,14
10004.0,Posting Advertisement,1
10004.0,Public Payphone Complaint,8
10004.0,Public Toilet,1
10004.0,Quality of Life,4
10004.0,Recycling Enforcement,19
10004.0,Request Large Bulky Item Collection,43
10004.0,Rodent,50
10004.0,SAFETY,1
10004.0,Sanitation Condition,35
10004.0,Scaffold Safety,2
10004.0,School Maintenance,1
10004.0,Sewer,111
10004.0,Sidewalk Condition,232
10004.0,Single Occupancy Bathroom,1
10004.0,Smoking,18
10004.0,Snow,17
10004.0,Special Projects Inspection Team (SPIT),35
10004.0,Squeegee,1
10004.0,Standing Water,4
10004.0,Street Condition,452
10004.0,Street Light Condition,201
10004.0,Street Sign - Damaged,83
10004.0,Street Sign - Dangling,47
10004.0,Street Sign - Missing,45
10004.0,Sustainability Enforcement,7
10004.0,Taxi Complaint,254
10004.0,Taxi Report,47
10004.0,Traffic,93
10004.0,Traffic Signal Condition,249
10004.0,UNSANITARY CONDITION,17
10004.0,Unleashed Dog,14
10004.0,Urinating in Public,1
10004.0,Vending,827
10004.0,Violation of Park Rules,38
10004.0,WATER LEAK,1
10004.0,Water Conservation,3
10004.0,Water Quality,1
10004.0,Water System,169
10005.0,APPLIANCE,2
10005.0,Abandoned Vehicle,4
10005.0,Air Quality,57
10005.0,Animal Abuse,14
10005.0,Animal in a Park,5
10005.0,Animal-Abuse,5
10005.0,Asbestos,12
10005.0,BEST/Site Safety,2
10005.0,Bike Rack Condition,2
10005.0,Bike/Roller/Skate Chronic,22
10005.0,Blocked Driveway,40
10005.0,Boilers,1
10005.0,Borough Office,6
10005.0,Broken Muni Meter,118
10005.0,Broken Parking Meter,84
10005.0,Building Marshals office,8
10005.0,Building/Use,13
10005.0,Bus Stop Shelter Complaint,3
10005.0,Calorie Labeling,1
10005.0,Collection Truck Noise,1
10005.0,Construction Safety Enforcement,25
10005.0,Consumer Complaint,151
10005.0,Cooling Tower,2
10005.0,Cranes and Derricks,1
10005.0,Curb Condition,107
10005.0,DOF Property - Payment Issue,27
10005.0,DOOR/WINDOW,2
10005.0,DPR Internal,5
10005.0,Damaged Tree,8
10005.0,Dead/Dying Tree,3
10005.0,Derelict Bicycle,4
10005.0,Derelict Vehicle,12
10005.0,Derelict Vehicles,9
10005.0,Dirty Conditions,50
10005.0,Drinking,2
10005.0,Drug Activity,3
10005.0,ELECTRIC,3
10005.0,ELEVATOR,9
10005.0,Electrical,3
10005.0,Elevator,50
10005.0,Emergency Response Team (ERT),24
10005.0,FLOORING/STAIRS,2
10005.0,Facades,6
10005.0,Food Establishment,79
10005.0,Food Poisoning,31
10005.0,For Hire Vehicle Complaint,122
10005.0,For Hire Vehicle Report,5
10005.0,Found Property,7
10005.0,GENERAL,13
10005.0,General,1
10005.0,General Construction/Plumbing,110
10005.0,Graffiti,10
10005.0,HEAT/HOT WATER,45
10005.0,Hazardous Materials,16
10005.0,Homeless Encampment,142
10005.0,Homeless Person Assistance,422
10005.0,Homeless Street Condition,61
10005.0,Illegal Fireworks,1
10005.0,Illegal Parking,685
10005.0,Illegal Tree Damage,3
10005.0,Indoor Air Quality,27
10005.0,Indoor Sewage,2
10005.0,Industrial Waste,2
10005.0,Lead,30
10005.0,Legal Services Provider Complaint,2
10005.0,Litter Basket / Request,3
10005.0,Lost Property,29
10005.0,Maintenance or Facility,27
10005.0,Miscellaneous Categories,2
10005.0,Missed Collection (All Materials),25
10005.0,Mobile Food Vendor,23
10005.0,New Tree Request,9
10005.0,Noise,1131
10005.0,Noise - Commercial,188
10005.0,Noise - Helicopter,2
10005.0,Noise - House of Worship,3
10005.0,Noise - Park,6
10005.0,Noise - Residential,299
10005.0,Noise - Street/Sidewalk,712
10005.0,Noise - Vehicle,195
10005.0,Non-Emergency Police Matter,55
10005.0,Non-Residential Heat,25
10005.0,Other Enforcement,21
10005.0,Overflowing Litter Baskets,1
10005.0,PAINT/PLASTER,4
10005.0,PLUMBING,11
10005.0,Panhandling,439
10005.0,Plumbing,10
10005.0,Posting Advertisement,1
10005.0,Public Payphone Complaint,5
10005.0,Public Toilet,1
10005.0,Recycling Enforcement,12
10005.0,Request Large Bulky Item Collection,79
10005.0,Rodent,47
10005.0,SAFETY,11
10005.0,Sanitation Condition,42
10005.0,Scaffold Safety,3
10005.0,Sewer,37
10005.0,Sidewalk Condition,170
10005.0,Smoking,9
10005.0,Snow,11
10005.0,Special Projects Inspection Team (SPIT),69
10005.0,Standing Water,7
10005.0,Street Condition,355
10005.0,Street Light Condition,213
10005.0,Street Sign - Damaged,90
10005.0,Street Sign - Dangling,32
10005.0,Street Sign - Missing,18
10005.0,Sustainability Enforcement,8
10005.0,Taxi Complaint,245
10005.0,Taxi Compliment,2
10005.0,Taxi Report,38
10005.0,Traffic,14
10005.0,Traffic Signal Condition,174
10005.0,UNSANITARY CONDITION,25
10005.0,Unleashed Dog,5
10005.0,Unsanitary Animal Pvt Property,1
10005.0,Unsanitary Pigeon Condition,1
10005.0,Urinating in Public,3
10005.0,Vending,674
10005.0,Violation of Park Rules,7
10005.0,WATER LEAK,10
10005.0,Water Conservation,3
10005.0,Water Quality,4
10005.0,Water System,75
10005.0,Window Guard,1
10006.0,APPLIANCE,2
10006.0,Abandoned Vehicle,5
10006.0,Air Quality,36
10006.0,Animal Abuse,7
10006.0,Asbestos,12
10006.0,BEST/Site Safety,3
10006.0,Bike/Roller/Skate Chronic,5
10006.0,Blocked Driveway,42
10006.0,Boilers,1
10006.0,Borough Office,1
10006.0,Broken Muni Meter,17
10006.0,Broken Parking Meter,6
10006.0,Building Marshals office,12
10006.0,Building/Use,7
10006.0,Construction Safety Enforcement,46
10006.0,Consumer Complaint,63
10006.0,Cranes and Derricks,8
10006.0,Curb Condition,54
10006.0,DOF Property - Payment Issue,8
10006.0,DOOR/WINDOW,3
10006.0,Damaged Tree,1
10006.0,Dead Tree,1
10006.0,Dead/Dying Tree,3
10006.0,Derelict Bicycle,3
10006.0,Derelict Vehicle,7
10006.0,Derelict Vehicles,4
10006.0,Dirty Conditions,28
10006.0,Dispatched Taxi Complaint,1
10006.0,Drinking,1
10006.0,Drug Activity,1
10006.0,ELECTRIC,3
